Easy4D Code;EAN Code;IPC Code;Designation;Sculpture;Sculpture web;Price list;First  category;Category  tyre code;Category  tyre name;Brand code;Brand name;Family code;Family name;Season;Width;Height;diameter;Construction;TL / TT;Load index;Speed index;Special index 1;Position;Use;Runflat;DOT;Dismounted;Retread;Weight;Fuel efficiency;Wet grip;Noise level;Noise;OE homologation;Segment
Z925837;4981910765547;2320455;225/45 R 17   91W   TOYO   PROXES CF2;PROXES CF2;CF2;91,7;Pneus neufs;01;AUTO;72;TOYO;01;Tourisme ete;Ete;225;45;17;R;TL;91;W;;;;;;0;0;0;C;B;2;70;;Quality
Z925836;4981910765653;2311030;225/50 R 17   98V   TOYO   PROXES CF2 XL;PROXES CF2;CF2;126,6;Pneus neufs;01;AUTO;72;TOYO;01;Tourisme ete;Ete;225;50;17;R;TL;98;V;XL;;;;;0;0;0;C;B;2;70;;Quality
Z925835;4981910764076;2311027;225/50 R 17   98Y   TOYO   PROXES T1 SPORT + XL;PROXES T1 SPORT +;PROXES-T1-SPORT-PLUS;125,3;Pneus neufs;01;AUTO;72;TOYO;01;Tourisme ete;Ete;225;50;17;R;TL;98;Y;XL;;;;;0;0;0;E;A;2;71;;Quality
Z925834;4981910765660;2293005;225/55 R 17   97W   TOYO   PROXES CF2;PROXES CF2;CF2;123,6;Pneus neufs;01;AUTO;72;TOYO;01;Tourisme ete;Ete;225;55;17;R;TL;97;W;;;;;;0;0;0;C;B;2;70;;Quality
Z925833;4981910765677;2292903;215/55 R 17   94W   TOYO   PROXES CF2;PROXES CF2;CF2;124,3;Pneus neufs;01;AUTO;72;TOYO;01;Tourisme ete;Ete;215;55;17;R;TL;94;W;;;;;;0;0;10,84;C;B;2;70;;Quality
Z925832;4981910764106;1593910;265/60 R 18   110T   TOYO   OPEN COUNTRY A/T +;OPEN COUNTRY A/T +;OP-AT-PLUS;181,9;Pneus neufs;01;AUTO;72;TOYO;11;4x4 ete;Ete;265;60;18;R;TL;110;T;;;;;;0;0;17,487;E;E;2;71;;Quality
Z925831;4981910767084;1593515;235/60 R 18   107V   TOYO   OPEN COUNTRY A/T + XL;OPEN COUNTRY A/T +;OP-AT-PLUS;157,3;Pneus neufs;01;AUTO;72;TOYO;11;4x4 ete;Ete;235;60;18;R;TL;107;V;XL;;;;;0;0;0;E;E;2;70;;Quality
Z925830;4981910768128;2266466;215/60 R 17   96H   TOYO   PROXES CF2 SUV;PROXES CF2 SUV;PROXES-CF2-SUV;127,3;Pneus neufs;01;AUTO;72;TOYO;11;4x4 ete;Ete;215;60;17;R;TL;96;H;;;;;;0;0;11,351;C;B;2;69;;Quality
Z925829;4981910765837;1593521;235/60 R 16   100H   TOYO   OPEN COUNTRY A/T +;OPEN COUNTRY A/T +;OP-AT-PLUS;114,9;Pneus neufs;01;AUTO;72;TOYO;11;4x4 ete;Ete;235;60;16;R;TL;100;H;;;;;;0;0;13,199;E;E;2;70;;Quality
Z925828;4981910765844;1589745;265/65 R 17   112H   TOYO   OPEN COUNTRY A/T +;OPEN COUNTRY A/T +;OP-AT-PLUS;164,7;Pneus neufs;01;AUTO;72;TOYO;11;4x4 ete;Ete;265;65;17;R;TL;112;H;;;;;;0;0;17,721;E;E;2;71;;Quality